target,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21
1,0.263669037,0.711011768,0.730640821,0.259069345,0.331150492,0.300946854,0.468117732,0.426361843,0.545662204,0.472496026,0.810335725,0.575794872,0.869772149,0.219605806,0.690552832,0.697929311,0.332535048,0.500680708,0.418926376,0.27247483,0.822392222
0,0.828056247,0.433517984,0.435616615,0.209394411,0.508133396,0.296113894,0.082211254,0.876143711,0.201528022,0.630515266,0.623971624,0.000193662,0.57046958,0.235018269,0.588985826,0.76759897,0.585097004,0.458801372,0.960031428,0.732236417,0.543158601
0,0.089681484,0.590071647,0.715499928,0.921636648,0.542367918,0.729198777,0.979150699,0.009172384,0.929291427,0.854326187,0.784131954,0.853775778,0.847301089,0.894064652,0.79137091,0.721615446,0.202685976,0.845607552,0.04653493,0.200791241,0.65468813
0,0.796596382,0.276844433,0.234233926,0.798410375,0.129722797,0.794305589,0.174816039,0.823312613,0.209920157,0.008414067,0.050354099,0.231999415,0.094406385,0.817542623,0.342793938,0.215915671,0.015114426,0.207309797,0.84510557,0.017104095,0.016129671
1,0.040663882,0.036370184,0.438089604,0.219632719,0.100568881,0.097790703,0.089304853,0.337548448,0.382942287,0.160545252,0.092580591,0.009624486,0.074037787,0.044325042,0.844282602,0.792098026,0.842606153,0.133043953,0.002374542,0.795791998,0.128112361
1,0.86876285,0.302386483,0.043606592,0.24242406,0.303153053,0.268953365,0.221823361,0.828086186,0.19950003,0.05344427,0.024178461,0.369178384,0.925584876,0.431346201,0.967797912,0.977627351,0.227011307,0.135585701,0.767698302,0.163971336,0.146590782
0,0.728408729,0.955542347,0.357959202,0.48083346,0.980891546,0.933022083,0.701456736,0.339142472,0.269809845,0.353438903,0.615994646,0.966691582,0.099355282,0.666691188,0.504559566,0.637624344,0.601862955,0.687924759,0.11766654,0.808239561,0.952089518
1,0.266344879,0.630979007,0.799108916,0.486454851,0.395986591,0.321277672,0.625565607,0.165941051,0.533798779,0.698178192,0.749813413,0.429255681,0.46277264,0.494042774,0.520617176,0.510444598,0.471233237,0.819551978,0.387217785,0.606843224,0.647056049
1,0.892409043,0.945562812,0.97735004,0.87987844,0.938501463,0.909493123,0.583347277,0.856940792,0.49715486,0.959269481,0.97018443,0.917496895,0.144600767,0.944996878,0.3051703,0.499136766,0.737729641,0.872870078,8.11E-05,0.703563604,0.863728374
0,0.605851922,0.594755488,0.395695154,0.069246816,0.138343213,0.534031693,0.207084075,0.618779736,0.284306231,0.915140855,0.885615445,0.113860857,0.607663185,0.177356487,0.952140132,0.808066361,0.512070259,0.56140277,0.876502779,0.647317929,0.519081976
0,0.015628027,0.869270628,0.986667978,0.973876783,0.682222051,0.940873089,0.94407529,0.096716345,0.863076713,0.156959812,0.26854721,0.626803079,0.282085046,0.982254023,0.564541567,0.56054349,0.927980118,0.980697763,6.77E-05,0.99169956,0.583164767
1,0.849162725,0.943613286,0.263294672,0.163212454,0.959828505,0.140904982,0.218670943,0.828308405,0.278594511,0.378846579,0.404801223,0.957400441,0.953446387,0.101943671,0.833155798,0.919769536,0.718442364,0.479602105,0.977384163,0.769606702,0.995707873
0,0.156986551,0.827578388,0.943983481,0.710754285,0.058735103,0.847251379,0.966497546,0.071462919,0.990793883,0.405144141,0.403435635,0.885466817,0.296148939,0.733236588,0.342793938,0.268657949,0.09673875,0.932876555,0.175717219,0.073819883,0.707894185
1,0.207025481,0.21081667,0.039664309,0.121363053,0.315042851,0.205609754,0.330093793,0.185324292,0.209920157,0.201731435,0.096727111,0.31947179,0.231919194,0.137212763,0.516206539,0.611727558,0.455421831,0.158798623,0.301491566,0.623596309,0.019425569
0,0.577472995,0.097878982,0.261835428,0.951756442,0.890705549,0.918153653,0.351216434,0.431770317,0.224580684,0.388346865,0.396341982,0.088857821,0.706708324,0.925865978,0.720775813,0.790491342,0.822195368,0.263773518,0.65831857,0.916388064,0.260602949
0,0.031462718,0.336806449,0.12378949,0.684164797,0.119007108,0.510282797,0.736332337,0.02533096,0.731079657,0.235590203,0.338836444,0.97239442,0.021792297,0.782361695,0.147646252,0.247788033,0.042426188,0.196914046,0.075354052,0.173855997,0.002142454
0,0.22056097,0.48427707,0.785075955,0.838009329,0.1572169,0.85145246,0.792287997,0.250772212,0.928347771,0.727054645,0.829135984,0.885968391,0.600717703,0.596992879,0.588985826,0.383819871,0.048371158,0.655483109,0.03012501,0.011790207,0.85029158
0,0.212889517,0.339176099,0.116098747,0.489716103,0.946591681,0.290045268,0.78342501,0.326674214,0.825946418,0.22678584,0.128588999,0.843990004,0.986502531,0.264897613,0.957963788,0.973801734,0.975577595,0.155215018,0.344332676,0.975685578,0.191907553
1,0.681666792,0.202739799,0.148989109,0.519413094,0.362951869,0.72178042,0.166600451,0.658954738,0.21668195,0.608695896,0.131210455,0.31947179,0.35638263,0.696972878,0.30135404,0.687628391,0.397022377,0.036397673,0.418373752,0.376049005,0.213510647
1,0.577472995,0.16330052,0.019206425,0.998960812,0.069324418,0.82549817,0.287753261,0.476464302,0.2633994,0.224360845,0.473683191,0.3873382,0.372194613,0.988992136,0.141207822,0.181965285,0.008536572,0.03515928,0.535500435,0.023888042,0.635242368
1,0.654412361,0.650223761,0.665488424,0.071672572,0.652265426,0.111765714,0.41027042,0.691271584,0.71483698,0.971817213,0.958223601,0.591149236,0.594826637,0.000116555,0.375038051,0.161833688,0.760769034,0.700006039,0.732567565,0.629895834,0.785489683
1,0.284410985,0.561488834,0.776002004,0.45135633,0.673061726,0.213363387,0.946539724,0.257065316,0.914808455,0.697874806,0.799293125,0.958278515,0.998038928,0.416598915,0.826707784,0.757384841,0.53207284,0.764717407,0.72630887,0.552095005,0.37732954
0,0.471324659,0.258209641,0.460508609,0.686665817,0.876566391,0.392346821,0.069254973,0.417455203,0.257295149,0.405144141,0.092588883,0.243879783,0.638645161,0.338711798,0.695846473,0.635769185,0.971268205,0.398531096,0.238704362,0.855780901,0.193098276
1,0.688073461,0.456487257,0.108653806,0.169196182,0.877062883,0.482042423,0.306418748,0.631865431,0.197382973,0.008898573,0.002055915,0.715084825,0.567632367,0.270680942,0.550577127,0.671698479,0.733573902,0.22731323,0.218652792,0.794035468,0.007994024
1,0.109062999,0.129036525,0.588163357,0.45797486,0.281247957,0.210743718,0.308590526,0.44098946,0.619871578,0.64227107,0.805922481,0.197926201,0.386328113,0.416598915,0.231740751,0.330758572,0.173323035,0.266729661,0.728333328,0.075247567,0.716633477
1,0.211309195,0.984272687,0.913037887,0.626916674,0.734763056,0.809007698,0.306648949,0.722245922,0.618907279,0.165808598,0.217619707,0.609794629,0.19033024,0.635505318,0.102847394,0.009932631,0.703291516,0.844213139,0.177229191,0.553622862,0.45909441
0,0.461770377,0.721702388,0.682842705,0.786909861,0.808387296,0.8217045,0.07431602,0.459776735,0.182612383,0.564738893,0.249823917,0.046454417,0.889483721,0.856118979,0.841758343,0.726068749,0.808077428,0.64948592,0.324228008,0.80773386,0.056068438
1,0.447382244,0.308543019,0.393071349,0.309231295,0.601432381,0.481090676,0.286359558,0.552419534,0.346350486,0.60886462,0.870021288,0.318567748,0.561951114,0.297584705,0.727915115,0.857025013,0.629575048,0.299289274,0.565041062,0.607800764,0.823349101
1,0.379826723,0.322546294,0.547435715,0.441100976,0.069323489,0.533596309,0.976822842,0.089967068,0.799540954,0.310815552,0.313981676,0.959285591,0.042833685,0.745001413,0.048434017,0.007922178,0.096732646,0.710421461,0.490787838,0.084427324,0.311396676
0,0.584325757,0.947493498,0.915529899,0.601851397,0.116179404,0.915957326,0.497692017,0.484972988,0.604202706,0.949555006,0.668273733,0.729280708,0.017370813,0.631701291,0.07431163,0.04013394,0.209584369,0.837026258,0.303325199,0.231713228,0.72860037
0,0.956283353,0.862912488,0.936269655,0.955820039,0.629709014,0.809011782,0.248421754,0.982676372,0.259346514,0.11761584,0.07159332,0.404627058,0.665426171,0.815803759,0.600849651,0.769739731,0.741830201,0.947429926,0.901048021,0.695814276,0.114785317
1,0.964079758,0.429391905,0.225313817,0.805149966,0.491051571,0.484004856,0.478108966,0.908142246,0.035365693,0.352755535,0.109684763,0.593572392,0.157934543,0.509806681,0.311549168,0.153387423,0.407336404,0.1167761,0.75312985,0.663831068,0.22375884
0,0.867778239,0.066815642,0.078687348,0.192638335,0.907421712,0.080289678,0.146853931,0.822494653,0.116386912,0.22771842,0.193276949,0.016985916,0.892822638,0.245252524,0.997043454,0.967527683,0.951965462,0.041488706,0.994778662,0.960704339,0.715067258
0,0.775327893,0.287830799,0.147465902,0.125304537,0.319131098,0.050672929,0.329134762,0.704313981,0.157749847,0.715826616,0.728142803,0.326767444,0.413340295,0.043090016,0.302433821,0.556734025,0.228119073,0.352783193,0.773972222,0.296628932,0.704453314
0,0.398947812,0.630030852,0.674131531,0.27998455,0.30623902,0.299371277,0.300552379,0.44488381,0.440967683,0.563558287,0.759952142,0.490526282,0.909135316,0.208531138,0.810801556,0.727687209,0.259979725,0.532622743,0.472748549,0.224216277,0.81485011
1,0.477249959,0.247005231,0.298046343,0.276293622,0.564666163,0.204604692,0.243609356,0.541925421,0.264029128,0.302232809,0.200462356,0.201335754,0.781005734,0.15936325,0.798632151,0.824066636,0.334598957,0.289665172,0.559353042,0.551678464,0.331334202
0,0.358384751,0.518175341,0.526170217,0.313597065,0.05653889,0.52323644,0.991435913,0.109372409,0.87456313,0.231212755,0.422671444,0.996133303,0.112757797,0.778401325,0.147236269,0.27235431,0.194773185,0.729912048,0.523102055,0.384108096,0.261104428
0,0.91943721,0.4403293,0.690023543,0.162076842,0.387022023,0.213445411,0.623558769,0.631129238,0.576834728,0.991367901,0.999334259,0.526108103,0.694281569,0.157546723,0.669442567,0.489058498,0.395572809,0.681799326,0.732880113,0.330256675,0.878654728
0,0.592183621,0.454574228,0.578545541,0.577988243,0.740523986,0.262918518,0.349508187,0.70433716,0.420693281,0.722903332,0.55152583,0.411127007,0.851697731,0.416600695,0.649288006,0.864112214,0.48616065,0.657225019,0.729034119,0.468959177,0.25559965
1,0.019465916,0.242268451,0.089236054,0.572611971,0.352511736,0.536036388,0.682225112,0.03342434,0.675943395,0.411385498,0.602066815,0.707422395,0.607415809,0.564654462,0.136373511,0.153822293,0.256027281,0.32365862,0.051324552,0.153860809,0.019051809
1,0.407047809,0.766056841,0.247936504,0.791751343,0.512294005,0.786310134,0.78167356,0.305172272,0.796831322,0.49560384,0.797518154,0.784350853,0.859459267,0.466594337,0.707351032,0.704550343,0.598546946,0.61706751,0.444258015,0.76160608,0.504099612
0,0.921472332,0.704559117,0.263294672,0.896538634,0.554263405,0.058518982,0.11468748,0.877368527,0.015473787,0.824664164,0.644581621,0.762541579,0.308330841,0.293101231,0.318800626,0.467727401,0.370287659,0.091016068,0.955901263,0.443365096,0.9825694
1,0.077895402,0.241649323,0.355916688,0.603970244,0.209581284,0.56480717,0.497400692,0.405821243,0.522548851,0.990994917,0.920696333,0.296924328,0.144600767,0.580610224,0.165507867,0.0768505,0.460080725,0.276944072,0.853466717,0.287963021,0.966059207
0,0.140335591,0.141295983,0.055243352,0.255002734,0.876539609,0.082081422,0.009824016,0.269993899,0.021757334,0.021178839,0.24402569,0.075893544,0.892822638,0.076247695,0.88320764,0.919663633,0.983389391,0.028545718,0.179895678,0.840530092,0.132200323
1,0.830127804,0.210143527,0.11606954,0.005021558,0.747396598,0.205609754,0.101599547,0.894248376,0.185702991,0.423974691,0.422748993,0.187945402,0.968935491,0.08649767,0.729872193,0.824864914,0.634785034,0.104371372,0.755173555,0.634826083,0.525105198
0,0.928943511,0.84694646,0.799007127,0.922786803,0.781031653,0.944938262,0.024759253,0.901890927,0.115628824,0.831180452,0.883599702,0.026507861,0.254111022,0.958761528,0.182528441,0.212177806,0.670123817,0.867745097,0.646438182,0.789534894,0.982055479
0,0.446050059,0.411457863,0.512723714,0.486454851,0.743654797,0.337652655,0.257658613,0.635209431,0.572563769,0.483119123,0.338414023,0.304329826,0.840739218,0.115052672,0.905114458,0.891826407,0.777064654,0.340434782,0.528028942,0.694170382,0.403263624
0,0.428958326,0.750986844,0.55797198,0.473002076,0.441518047,0.72178042,0.664819151,0.472247905,0.696796648,0.354707843,0.579673078,0.58510307,0.715010829,0.519637737,0.670307989,0.816683248,0.495975212,0.657225019,0.44347473,0.513842672,0.44724275
1,0.970253998,0.631030485,0.278539598,0.138056606,0.732594088,0.297492677,0.703276467,0.717094289,0.220965305,0.550735529,0.275503056,0.9657425,0.631470998,0.031341765,0.97627958,0.712669074,0.899214992,0.15003683,0.022399556,0.887510282,0.727177676
0,0.549720182,0.360140631,0.766014208,0.881773153,0.268880963,0.597963666,0.491555684,0.723337689,0.681877852,0.571032488,0.796134659,0.244925768,0.262722188,0.729576982,0.210875473,0.394245501,0.098788715,0.675308931,0.88383916,0.091988829,0.65266409
1,0.203067321,0.955543562,0.820662233,0.626916674,0.650811867,0.722780216,0.714832121,0.122042363,0.619915993,0.494572982,0.25827909,0.663505297,0.123943826,0.435591795,0.046872169,0.14235685,0.409073732,0.984973046,0.318471427,0.558107511,0.606897464
0,0.16265,0.016204098,0.349779068,0.893893193,0.647554665,0.9424526,0.608739709,0.463055209,0.738815488,0.158262269,0.081537239,0.523131087,0.116063015,0.913743097,0.035269636,0.080308545,0.527483577,0.532810539,0.50518254,0.707789423,0.217013695
1,0.617490406,0.758169206,0.940112171,0.403293597,0.176989443,0.654541532,0.828375786,0.301367028,0.676999548,0.825529181,0.978496512,0.843990004,0.842978152,0.674418653,0.746230692,0.871563769,0.217879441,0.953815937,0.292870538,0.272708247,0.926143465
0,0.305808259,0.432893919,0.651370529,0.80259717,0.617249527,0.770083789,0.564451017,0.035844501,0.655077614,0.949110872,0.652335794,0.584909451,0.458797092,0.953065959,0.79189774,0.643913785,0.88671423,0.523270705,0.068121598,0.883638707,0.449100407
0,0.389519271,0.858817707,0.451448279,0.892813407,0.684502648,0.682071698,0.81381292,0.407135247,0.875850269,0.621292439,0.588584209,0.767307885,0.413180779,0.859549065,0.573281589,0.490309812,0.89673799,0.508696838,0.347704405,0.943736554,0.758526691
0,0.447382244,0.34880915,0.009587222,0.671751673,0.001604664,0.48824763,0.008090798,0.700234705,0.015527439,0.474898025,0.493123546,0.044983574,0.655010344,0.519096713,0.504602761,0.247790306,0.008060292,0.035140751,0.845215865,0.047789095,0.765950024
